[2026-03-17 13:40:16] Maszyna: MX7          | Folder: 996        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: FX5 LINEAR   | Folder: 123        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7 ULTRA    | Folder: 145        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: FX5 LINEAR   | Folder: 145        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7 ULTRA    | Folder: 185        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7          | Folder: 185        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: FX5 LINEAR   | Folder: 199        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7          | Folder: 199        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7 ULTRA    | Folder: 213        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: FX5 LINEAR   | Folder: 213        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX5          | Folder: 213        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: FX5 LINEAR   | Folder: 215        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX5          | Folder: 215        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7          | Folder: 215        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7          | Folder: 218        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7          | Folder: 254        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX5          | Folder: 264        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7          | Folder: 345        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:47] Maszyna: MX7          | Folder: 372        | Status: PRZENIESIONO (Skopiowano i Usunięto)
[2026-03-17 13:42:54] Maszyna: MX7          | Folder: 123        | Status: PRZENIESIONO (Skopiowano i Usunięto)
